question,label,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Which is the measure that compares the number of men to women in a population?,0,1,15,99,40.06,63.35,,15,20,86.67,66.67,60,13.33,0,0,0,0,0,0,13.33,26.67,20,0,20,6.67,0,0,0,6.67,0,6.67,0,0,0,0,13.33,0,13.33,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,13.33,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0
What does the “graying of the United States” refer to?,0,1,10,99,,,,10,10,90,70,60,10,0,0,0,0,0,0,10,20,20,0,20,10,0,0,0,20,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,10,0,0,20,0
Of what is thanatology the study?,0,1,6,89.52,,,,6,16.67,83.33,66.67,66.67,16.67,0,0,0,0,0,0,16.67,16.67,16.67,0,16.67,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
"In Erik Erikson’s developmental stages of life, with which challenge must older people struggle?",0,1,14,96.35,9.23,24.32,20.23,14,28.57,71.43,42.86,35.71,7.14,0,0,0,0,0,0,7.14,0,0,0,21.43,7.14,0,0,0,7.14,7.14,0,14.29,0,7.14,7.14,14.29,0,14.29,0,0,7.14,0,0,7.14,0,14.29,7.14,7.14,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,14.29,7.14,0,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,21.43,0,7.14,7.14,0,7.14,0,0
"Who wrote the book On Death and Dying, outlining the five stages of grief?",0,1,14,99,79.51,,1,14,7.14,85.71,57.14,50,7.14,7.14,0,0,0,0,0,0,21.43,14.29,7.14,14.29,0,0,7.14,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,7.14,7.14,0,7.14,0,0,7.14,0,14.29,7.14,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,14.29,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,14.29,0,7.14,7.14,0,0,0,0
"For individual people of a certain culture, what is the life course?",1,1,12,99,,,,12,25,91.67,66.67,50,8.33,0,0,0,0,0,0,8.33,16.67,16.67,0,16.67,8.33,0,0,0,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,16.67,0,8.33,8.33,0,0,0,0
What is the poverty rate of the elderly today in the United States?,0,1,13,99,81.78,30.98,,13,15.38,100,69.23,53.85,7.69,0,0,0,0,0,0,7.69,23.08,23.08,0,15.38,7.69,0,0,0,7.69,7.69,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,15.38,15.38,0,0,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,7.69,7.69,0,0,7.69,0,0,0,7.69,0,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
Which action reflects ageism?,2,1,4,26.1,1,99,,4,25,75,25,25,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0
Which factor most increases the risk of an elderly person suffering mistreatment?,0,1,12,99,84.23,39.59,1,12,33.33,91.67,66.67,41.67,8.33,0,0,0,0,0,0,8.33,25,16.67,0,8.33,0,0,0,0,8.33,16.67,16.67,0,0,0,0,8.33,0,8.33,0,0,0,0,0,8.33,0,16.67,0,16.67,8.33,0,8.33,0,0,0,0,25,8.33,0,0,8.33,8.33,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
"If elderly people suffer abuse, it is most often perpetrated by whom?",0,1,12,10.19,84.23,89.39,1,12,16.67,91.67,75,58.33,16.67,8.33,0,0,0,0,0,8.33,8.33,0,0,8.33,8.33,8.33,8.33,0,16.67,16.67,8.33,8.33,0,0,8.33,16.67,0,16.67,0,0,0,16.67,0,8.33,0,16.67,0,16.67,8.33,0,8.33,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,16.67,0,8.33,0,0,0,0,0,0,16.67,0,8.33,8.33,0,0,0,0
What are veterans two to four times more likely than people who did not serve in the military?,0,1,18,66.04,2.75,77.17,,18,11.11,94.44,72.22,66.67,11.11,5.56,0,0,0,0,0,5.56,22.22,5.56,11.11,16.67,11.11,0,5.56,5.56,11.11,11.11,16.67,5.56,0,0,5.56,16.67,0,16.67,0,0,0,5.56,0,11.11,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,5.56,0,0,0,0,5.56,5.56,0,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,5.56,0,0,0,5.56,5.56,5.56,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0
Which assertion about aging in men would be made by a sociologist following the functionalist perspective?,0,1,16,95.8,40.06,54.55,,16,31.25,93.75,62.5,50,6.25,0,0,0,0,0,0,6.25,12.5,12.5,0,18.75,12.5,6.25,0,0,25,0,0,6.25,0,0,6.25,25,0,25,6.25,6.25,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,12.5,6.25,0,0,0,0,0,6.25,0,0,0,6.25,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,6.25,6.25,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0
Which polysaccharide is usually found in the cell wall of fungi?,1,1,11,89.52,5.27,99,,11,18.18,72.73,63.64,54.55,9.09,0,0,0,0,0,0,9.09,9.09,9.09,0,18.18,9.09,9.09,0,0,18.18,0,0,0,0,0,0,27.27,0,27.27,9.09,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,18.18,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
Which of these organelles is not found in a fungal cell?,2,1,11,71.44,1,99,,11,9.09,72.73,72.73,63.64,18.18,0,0,0,0,0,0,18.18,18.18,9.09,0,18.18,9.09,0,0,9.09,18.18,0,0,0,0,0,0,27.27,0,27.27,9.09,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,9.09,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
What is called the wall that dividing individual cells in a fungal filament?,1,1,13,89.52,,30.98,,13,23.08,69.23,61.54,46.15,15.38,0,0,0,0,0,0,15.38,23.08,15.38,0,7.69,7.69,0,0,0,15.38,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,15.38,0,0,0,0,7.69,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
Members of which phylum produce a club-shaped structure that contains spores?,1,1,11,89.52,40.06,50.45,,11,45.45,63.64,36.36,36.36,18.18,0,0,0,0,0,0,18.18,18.18,9.09,0,9.09,0,0,0,0,0,0,0,9.09,9.09,0,0,9.09,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,9.09,0,0,9.09,0
Members of which phylum establish a successful symbiotic relationship with the roots of trees?,1,1,14,99,79.51,2.36,98.65,14,35.71,64.29,50,42.86,7.14,0,0,0,0,0,0,7.14,14.29,14.29,0,21.43,0,0,0,0,0,7.14,0,21.43,14.29,7.14,0,7.14,0,7.14,0,0,0,0,0,7.14,0,7.14,7.14,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0
What term describes the close association of a fungus with the root of a tree?,1,1,15,99,,19.26,,15,13.33,80,60,53.33,6.67,0,0,0,0,0,0,6.67,26.67,26.67,0,20,0,0,0,0,0,6.67,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,6.67,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0
Why are fungi important decomposers?,3,1,5,3.8,,,99,5,40,60,60,40,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,20,0,0,0,0,0,20,0,20,0,20,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0
Which is the smallest independently functioning biological unit of an organism?,0,1,11,89.52,1,50.45,,11,45.45,72.73,72.73,54.55,9.09,0,0,0,0,0,0,9.09,18.18,18.18,0,9.09,9.09,9.09,0,0,9.09,18.18,9.09,0,0,0,0,18.18,0,18.18,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
What is a collection of similar tissues that performs a specific function?,0,1,12,89.52,6.61,3.81,,12,50,83.33,75,50,16.67,0,0,0,0,0,0,16.67,25,16.67,0,8.33,8.33,0,0,0,16.67,16.67,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
Why is adenosine triphosphate (ATP) an important molecule?,0,1,8,62.1,,,99,8,50,50,50,37.5,0,0,0,0,0,0,0,0,12.5,12.5,0,0,12.5,12.5,0,0,12.5,12.5,0,0,0,0,0,12.5,0,12.5,0,12.5,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,37.5,0,0,12.5,0,0,25,0
Humans have the most urgent need for a continuous supply of which?,0,1,12,99,40.06,89.39,,12,8.33,100,75,58.33,8.33,0,0,0,0,0,0,8.33,25,16.67,0,16.67,8.33,0,0,0,16.67,16.67,8.33,0,0,0,0,16.67,0,16.67,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,8.33,0,0,8.33,0,0,0,16.67,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
Which of the following statements about nutrients is true?,0,1,9,89.52,2.75,10.18,99,9,33.33,88.89,77.78,55.56,11.11,0,0,0,0,0,0,11.11,11.11,11.11,0,22.22,11.11,11.11,0,0,22.22,11.11,0,0,0,0,0,22.22,0,22.22,0,0,0,0,0,11.11,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
C.J. is stuck in her car during a bitterly cold blizzard. How does her body responds to the cold?,2,1,20,80.96,89.5,7.03,1,6.67,15,85,70,55,10,10,0,0,0,10,0,0,20,10,0,15,10,10,0,0,15,10,0,0,0,0,0,10,0,10,5,10,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,15,5,0,0,0,0,5,10,0,0,10,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,10,5,5,10,0,0,0,0,0,0,20,15,0,5,0,0,0,0
"After you eat lunch, nerve cells in your stomach respond to the distension (the stimulus) resulting from the food. What do they relay this information to?",2,1,26,93.9,99,11.63,,13,23.08,88.46,61.54,53.85,19.23,11.54,0,0,7.69,0,3.85,7.69,19.23,11.54,0,19.23,3.85,0,3.85,0,11.54,0,0,0,0,0,0,11.54,0,11.54,3.85,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,3.85,0,0,0,0,3.85,11.54,0,0,0,0,0,0,0,0,3.85,0,0,0,3.85,0,19.23,0,0,0,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,3.85,0,0,0,3.85,0,0,0,0,0,0,0,0,19.23,3.85,3.85,3.85,0,0,7.69,0
What does stimulation of the heat-loss center cause?,0,1,8,89.52,,15.38,,8,25,87.5,50,50,12.5,0,0,0,0,0,0,12.5,12.5,12.5,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,25,0,0,12.5,0,0,12.5,0
Which of the following is an example of a normal physiologic process that uses a positive feedback loop?,0,1,18,99,13.82,39.59,,18,33.33,83.33,72.22,50,11.11,0,0,0,0,0,0,11.11,27.78,22.22,0,11.11,5.56,0,0,0,16.67,11.11,0,0,0,0,0,16.67,0,16.67,5.56,5.56,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,11.11,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0
The heart is within which of the following?,0,1,8,99,1.71,89.39,,8,12.5,100,87.5,75,12.5,0,0,0,0,0,0,12.5,25,25,0,25,12.5,0,0,0,25,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
Which of the following imaging techniques would be best to use to study the uptake of nutrients by rapidly multiplying cancer cells?,2,1,22,98.87,17.46,5.07,86.79,22,27.27,86.36,68.18,50,4.55,0,0,0,0,0,0,4.55,9.09,9.09,0,22.73,9.09,4.55,0,0,18.18,4.55,4.55,4.55,0,4.55,0,13.64,0,13.64,0,4.55,4.55,0,0,4.55,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,4.55,4.55,0,0,4.55,0,0,9.09,9.09,4.55,4.55,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,4.55,9.09,0,4.55,0,4.55,0,0,4.55,0,0,0,0,0,0,0,0,4.55,0,0,4.55,0,0,0,0
Which of the following imaging studies can be used most safely during pregnancy?,0,1,13,89.52,40.06,2.93,,13,30.77,92.31,69.23,53.85,7.69,0,0,0,0,0,0,7.69,15.38,7.69,0,15.38,15.38,0,0,0,30.77,7.69,7.69,0,0,0,0,23.08,0,23.08,0,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,7.69,0,0,0,7.69,0,0,7.69,7.69,0,0,7.69,0,0,7.69,7.69,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,0,0,7.69,7.69,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
What are two major disadvantages of MRI scans?,0,1,8,62.1,,,,8,12.5,100,62.5,50,12.5,0,0,0,0,0,0,12.5,12.5,0,12.5,12.5,12.5,0,0,0,12.5,12.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
