question,label,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"how would you define the term ""democracy""?",0,1,7,18.12,99,97.09,,7,14.29,100,71.43,57.14,14.29,14.29,0,0,14.29,0,0,0,14.29,14.29,0,0,14.29,14.29,0,0,28.57,0,0,0,0,0,0,42.86,0,42.86,28.57,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,42.86,0,0,14.29,0,0,28.57,0
"define the concept of ""supply and demand.""",0,1,7,99,,97.09,,7,14.29,100,57.14,42.86,0,0,0,0,0,0,0,0,14.29,14.29,0,14.29,0,0,14.29,0,14.29,0,0,14.29,0,0,14.29,28.57,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,14.29,0,0,0,0,28.57,0
"what is the definition of the word ""philanthropy""?",0,1,8,98.55,,15.38,,8,25,100,62.5,62.5,12.5,0,0,0,0,0,0,12.5,25,25,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,37.5,0,0,12.5,0,0,25,0
"can you explain the meaning of ""global warming""?",0,1,8,89.52,99,89.39,,8,37.5,100,87.5,50,12.5,12.5,0,0,12.5,0,0,0,12.5,12.5,0,12.5,12.5,0,0,0,25,25,0,0,0,0,0,37.5,0,37.5,25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,12.5,0,0,12.5,0,0,12.5,0,0,0,0,0,0,37.5,0,0,12.5,0,0,25,0
"define the term ""sustainable agriculture.""",0,1,5,99,,99,,5,40,60,40,20,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,60,20,0,0,0,0,40,0
"what does the word ""entrepreneurship"" mean?",0,1,6,49.68,98.75,39.59,,6,16.67,100,50,50,16.67,0,0,0,0,0,0,16.67,16.67,16.67,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,16.67,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,50,0,0,16.67,0,0,33.33,0
"how would you define ""artificial intelligence""?",0,1,6,1,99,39.59,,6,33.33,100,83.33,50,16.67,16.67,0,0,16.67,0,0,0,0,0,0,0,16.67,16.67,0,0,33.33,0,0,0,0,0,0,50,0,50,33.33,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,16.67,0,0,33.33,0
"explain the concept of ""inflation.""",0,1,5,99,,99,,5,60,80,60,40,0,0,0,0,0,0,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,0,40,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,0,0,0,40,0
"what is the definition of a ""chemical reaction""?",0,1,8,98.55,,15.38,,8,37.5,87.5,62.5,62.5,12.5,0,0,0,0,0,0,12.5,25,25,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,25,0,25,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,37.5,0,0,12.5,0,0,25,0
"can you define the term ""cultural diversity""?",0,1,7,56.86,97.11,97.09,,7,28.57,100,71.43,42.86,14.29,14.29,0,0,14.29,0,0,0,14.29,14.29,0,0,14.29,0,0,0,28.57,14.29,0,0,0,0,0,42.86,0,42.86,14.29,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,42.86,0,0,14.29,0,0,28.57,0
tell me about your favorite vacation.,0,1,6,10.19,98.75,39.59,99,6,33.33,100,83.33,50,33.33,33.33,16.67,0,16.67,0,0,0,16.67,0,0,16.67,0,16.67,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0
can you tell me a joke?,0,1,6,10.19,98.75,1,99,6,0,100,83.33,66.67,33.33,33.33,16.67,0,16.67,0,0,0,16.67,16.67,0,0,16.67,0,0,0,33.33,0,0,0,0,0,0,16.67,0,16.67,0,0,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,50,33.33,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
tell me about a memorable childhood experience.,0,1,7,89.52,1,97.09,99,7,42.86,85.71,57.14,42.86,14.29,14.29,14.29,0,0,0,0,0,14.29,14.29,0,14.29,0,14.29,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,14.29,14.29,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0
what can you tell me about the history of the eiffel tower?,0,1,12,73.36,84.23,3.81,,12,8.33,83.33,75,66.67,25,16.67,8.33,0,8.33,0,0,8.33,16.67,16.67,0,16.67,8.33,8.33,0,0,16.67,0,0,0,0,0,0,8.33,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,8.33,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
tell me about your career goals.,0,1,6,10.19,98.75,39.59,99,6,0,100,66.67,50,33.33,33.33,16.67,0,16.67,0,0,0,16.67,0,0,16.67,0,16.67,0,0,16.67,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0
can you tell me how to make a classic omelet?,0,1,10,39.7,89.5,7.03,,10,10,90,90,60,20,20,10,0,10,0,0,0,10,10,0,10,10,10,0,0,30,10,0,0,0,0,0,30,0,30,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0
tell me about a recent book you've read.,0,1,8,26.1,94.84,89.39,,8,0,100,75,50,25,25,12.5,0,12.5,0,0,0,12.5,12.5,0,12.5,12.5,12.5,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,25,12.5,0,0,0,12.5,0,0
what can you tell me about the process of photosynthesis?,0,1,10,39.7,89.5,1,,10,20,80,80,70,30,20,10,0,10,0,0,10,10,10,0,20,10,10,0,0,20,0,0,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0
tell me about the benefits of meditation.,0,1,7,99,1,24.32,99,7,28.57,100,71.43,57.14,14.29,14.29,14.29,0,0,0,0,0,14.29,14.29,0,28.57,0,14.29,0,0,14.29,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0
can you tell me a story from your life that had a profound impact on you?,0,1,16,43.4,99,1,96.74,16,6.25,100,81.25,68.75,31.25,25,6.25,0,18.75,0,0,6.25,25,12.5,0,12.5,12.5,0,0,0,18.75,6.25,0,0,0,0,0,12.5,0,12.5,0,6.25,6.25,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,37.5,12.5,0,0,0,0,12.5,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0
describe your ideal vacation destination.,0,1,5,39.7,99,1,99,5,60,100,40,20,20,20,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,40,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0
can you describe the appearance of your childhood home?,0,1,9,66.04,99,10.18,,9,33.33,100,55.56,55.56,22.22,22.22,0,0,22.22,0,0,0,22.22,11.11,0,11.11,11.11,0,0,0,11.11,0,0,0,0,0,0,11.11,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,11.11,0,0,0,0,11.11,22.22,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,11.11,11.11,0,0,11.11,0,11.11,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
describe the taste and texture of your favorite dessert.,0,1,9,89.52,99,,99,9,44.44,100,66.67,44.44,11.11,11.11,0,0,11.11,0,0,0,22.22,11.11,0,11.11,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,22.22,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,11.11,22.22,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0
what does a typical day in your life look like? please describe it.,0,1,13,74.95,98.04,30.98,,6.5,15.38,100,76.92,53.85,23.08,7.69,0,0,7.69,0,0,15.38,15.38,7.69,0,15.38,7.69,0,0,0,15.38,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,15.38,7.69,7.69,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,15.38,7.69,0,7.69,7.69,0,0,7.69,0,7.69,0,0,0,0,0,0,15.38,7.69,0,7.69,0,0,0,0
describe the process of photosynthesis in plants.,0,1,7,99,,24.32,,7,42.86,57.14,42.86,42.86,0,0,0,0,0,0,0,0,14.29,14.29,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0
can you describe the main characters in your favorite movie?,0,1,10,69.05,99,1,99,10,30,90,70,50,20,20,0,0,20,0,0,0,20,10,0,10,10,0,0,0,10,20,0,0,0,0,0,10,0,10,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,30,10,0,0,0,0,10,20,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0
"describe the concept of ""artificial intelligence.""",0,1,6,99,,39.59,,6,66.67,100,50,33.33,0,0,0,0,0,0,0,0,16.67,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,16.67,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,16.67,0,0,0,0,33.33,0
what does it feel like to skydive? please describe the experience.,0,1,11,89.52,,5.07,,5.5,27.27,81.82,63.64,54.55,18.18,0,0,0,0,0,0,18.18,9.09,9.09,0,18.18,9.09,0,0,0,18.18,0,0,0,0,0,0,9.09,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,18.18,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,0,9.09,0,0,18.18,0,0,0,0,0,0,18.18,9.09,0,9.09,0,0,0,0
describe the characteristics of a tropical rainforest.,0,1,7,99,,,,7,57.14,57.14,42.86,42.86,0,0,0,0,0,0,0,0,28.57,28.57,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0
can you describe the steps involved in baking a cake from scratch?,0,1,12,99,98.75,3.81,,12,25,91.67,58.33,50,8.33,8.33,0,0,8.33,0,0,0,16.67,16.67,0,16.67,8.33,0,0,0,16.67,0,0,0,0,0,0,8.33,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,25,0,8.33,8.33,0,0,8.33,0,0,8.33,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
can you recite the pledge of allegiance?,0,1,7,89.52,99,1,,7,14.29,85.71,57.14,57.14,14.29,14.29,0,0,14.29,0,0,0,14.29,14.29,0,14.29,14.29,0,0,0,14.29,0,0,28.57,28.57,0,14.29,14.29,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0
recite the opening lines of your favorite poem.,0,1,8,98.55,99,89.39,99,8,25,75,50,37.5,12.5,12.5,0,0,12.5,0,0,0,25,12.5,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0
recite the multiplication table for the number seven.,0,1,8,99,,,,8,12.5,75,75,50,0,0,0,0,0,0,0,0,37.5,25,12.5,12.5,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0
can you recite the periodic table of elements?,0,1,8,89.52,99,1,,8,25,62.5,50,50,12.5,12.5,0,0,12.5,0,0,0,12.5,12.5,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,12.5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
recite the lyrics to your favorite song.,0,1,7,99,99,,99,7,14.29,71.43,57.14,42.86,14.29,14.29,0,0,14.29,0,0,0,28.57,14.29,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0
