"",question,label,question_ID,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
10,Which mnemonic can help you remember the biological definitions of oxidation and reduction?,0,28,1,13,53.56,81.78,30.98,99,13,46.15,76.92,61.54,46.15,15.38,7.69,0,0,7.69,0,0,7.69,7.69,7.69,0,7.69,7.69,0,7.69,0,15.38,7.69,0,7.69,7.69,0,0,30.77,0,30.77,15.38,0,7.69,0,0,7.69,7.69,7.69,7.69,0,0,0,0,0,0,0,0,15.38,7.69,7.69,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
11,What common theme underlies both the chemists' and biologists' definitions of redox reactions?,3,37,1,13,89.52,,2.93,,13,38.46,69.23,46.15,38.46,7.69,0,0,0,0,0,0,7.69,15.38,7.69,0,7.69,0,0,7.69,0,0,7.69,7.69,0,0,0,0,15.38,0,15.38,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,0,7.69,0,15.38,0,0
12,Which of the following statements correctly describes a biological redox reaction?,0,51,1,11,99,5.27,5.07,,11,54.55,72.73,54.55,36.36,9.09,0,0,0,0,0,0,9.09,18.18,18.18,0,9.09,0,0,0,0,9.09,9.09,0,0,0,0,0,18.18,0,18.18,0,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
13,Consider the following redox reaction: Zn + Cu^2+ → Zn^2+ + Cu. Based on this reaction  identify the reducing agent  oxidizing agent  molecule that becomes oxidized  and the reduced species.,1,52,1,29,93.52,78.45,2.1,,14.5,41.38,62.07,37.93,24.14,6.9,0,0,0,0,0,0,6.9,17.24,10.34,6.9,3.45,0,0,3.45,0,13.79,0,0,0,0,0,0,20.69,0,20.69,6.9,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,6.9,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,31.03,6.9,0,0,0,0,24.14,0
14,"Using the provided half-reactions  which of the following represents the correct composite chemical equation?

1. NADH + FAD + 2H+ → NAD+ + FADH2 + H+
2. NADH + FADH2 → NAD+ + FAD + 2e- + 2H+
3. NADH + FAD + H+ → NAD+ + FADH2
4. NADH + FAD + 2H+ → NAD+ + FADH2",2,54,1,40,96.56,26.5,1,,6.67,20,55,22.5,12.5,2.5,0,0,0,0,0,0,2.5,7.5,7.5,30,2.5,0,0,0,0,7.5,2.5,0,0,0,0,0,7.5,0,7.5,0,2.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,75,10,0,2.5,0,0,62.5,0
15,How do the roles of an oxidant and a reductant compare in a redox reaction?,3,56,1,15,99,40.06,63.35,,15,26.67,80,60,60,0,0,0,0,0,0,0,0,26.67,26.67,0,13.33,6.67,6.67,6.67,0,6.67,0,0,0,0,0,0,20,0,20,6.67,13.33,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0
16,Which of the following best defines 'reduction potential'?,1,42,1,8,98.55,1.71,89.39,,8,50,87.5,75,37.5,12.5,0,0,0,0,0,0,12.5,12.5,12.5,0,12.5,0,0,0,0,25,12.5,0,12.5,0,12.5,0,37.5,0,37.5,12.5,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,37.5,0,0,12.5,0,25,0,0
17,What does the reduction potential (E0’) measure in a redox reaction?,0,39,1,11,97.37,,5.07,,11,36.36,72.73,45.45,45.45,9.09,0,0,0,0,0,0,9.09,18.18,18.18,9.09,9.09,9.09,0,0,0,9.09,0,0,0,0,0,0,18.18,0,18.18,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,9.09,9.09,0,0,0,0,0,36.36,0,0,9.09,0,9.09,18.18,0
18,Imagine a scenario where compound A has a reduction potential (E0') of -0.50 V and compound B has a reduction potential (E0') of 0.40 V. Predict the outcome of the electron transfer from compound A to compound B.,3,50,1,38,99,,1,,19,36.84,68.42,42.11,42.11,0,0,0,0,0,0,0,0,18.42,18.42,10.53,13.16,5.26,2.63,2.63,0,5.26,0,0,0,0,0,0,13.16,0,13.16,2.63,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,5.26,7.89,0,0,0,0,0,28.95,10.53,0,0,0,5.26,13.16,0
19,"For the claim 'the reduction potential of a compound is a measure of its ability to attract electrons' to be valid, which assumption must be true?",3,49,1,26,98.28,20.31,1,,26,30.77,84.62,69.23,57.69,7.69,0,0,0,0,0,0,7.69,19.23,15.38,0,19.23,15.38,0,0,0,19.23,7.69,0,3.85,0,3.85,0,23.08,0,23.08,3.85,0,7.69,7.69,7.69,3.85,0,0,0,0,0,0,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,3.85,0,0,0,0,0,15.38,0,3.85,3.85,0,7.69,0,0
20,If a redox reaction has a ΔE0' of -0.25 V  what can be inferred about the spontaneity and ΔG0' of the reaction?,1,44,1,22,89.52,17.46,1,,22,18.18,86.36,63.64,59.09,4.55,0,0,0,0,0,0,4.55,18.18,18.18,13.64,13.64,13.64,4.55,9.09,0,18.18,0,0,0,0,0,0,22.73,0,22.73,4.55,13.64,4.55,4.55,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,9.09,0,0,0,0,0,0,22.73,4.55,0,4.55,0,9.09,4.55,0
21,Which of the following statements is true about the relationship between electronegativity and reduction potential?,0,41,1,15,96.08,40.06,19.26,,15,46.67,80,66.67,53.33,6.67,0,0,0,0,0,0,6.67,13.33,13.33,0,20,6.67,6.67,6.67,0,13.33,6.67,0,6.67,6.67,0,0,20,0,20,0,0,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,6.67,6.67,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0
22,What is the change in free energy (ΔG0') for the given redox reaction? Use F = 96.485 kJ/V.,2,46,1,18,98.16,,10.18,93.93,9,5.56,72.22,50,33.33,5.56,0,0,0,0,0,0,5.56,11.11,11.11,11.11,11.11,5.56,0,0,0,16.67,5.56,0,0,0,0,0,16.67,0,16.67,0,16.67,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,5.56,0,0,5.56,0,0,0,5.56,5.56,5.56,0,0,0,0,0,0,44.44,11.11,0,5.56,0,5.56,22.22,0
23,Which molecule acts as the electron donor  and which as the electron acceptor in the redox reaction between Molecule X (E0' = -0.20 V) and Molecule Y (E0' = -0.85 V)?,2,47,1,29,93.52,22.04,21.61,74.09,29,27.59,62.07,37.93,37.93,6.9,0,0,0,0,0,0,6.9,10.34,10.34,13.79,13.79,0,0,13.79,0,0,0,0,0,0,0,0,10.34,0,10.34,0,3.45,0,0,0,6.9,0,3.45,3.45,0,0,0,0,0,0,0,0,3.45,3.45,3.45,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,6.9,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,44.83,6.9,0,3.45,0,6.9,27.59,0
24,Based on the concept of reduction potential  which of the following scenarios would result in a spontaneous reaction?,1,43,1,18,99,13.82,10.18,,18,38.89,83.33,61.11,50,5.56,0,0,0,0,0,0,5.56,16.67,16.67,0,22.22,5.56,0,0,0,16.67,0,0,0,0,0,0,38.89,0,38.89,5.56,16.67,5.56,5.56,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,0,5.56,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0
25,Given the reduction potentials of Molecule A (-0.45 V) and Molecule B (+0.25 V)  will the electron transfer from Molecule A to Molecule B be spontaneous?,2,45,1,26,99,,,,26,34.62,53.85,42.31,38.46,0,0,0,0,0,0,0,0,15.38,15.38,7.69,11.54,7.69,0,3.85,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,3.85,0,0,0,0,0,34.62,7.69,0,3.85,0,0,23.08,0
26,What is the unit commonly used to express reduction potential?,0,40,1,10,69.05,,,,10,40,70,60,50,10,0,0,0,0,0,0,10,10,10,0,10,10,10,0,0,20,0,0,0,0,0,0,20,0,20,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,10,0,0,10,0,0,0,0
27,Which of the following statements best describes the difference between reduction potential (E0') and electronegativity?,3,48,1,15,98.78,1.24,63.35,,15,53.33,80,53.33,40,6.67,0,0,0,0,0,0,6.67,13.33,13.33,6.67,13.33,0,0,6.67,0,6.67,6.67,0,6.67,0,6.67,0,20,0,20,0,0,0,6.67,0,13.33,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,26.67,0,0,6.67,0,6.67,13.33,0
28,Which of the following is the correct definition of ΔG0’ in the equation ΔG0’ = -nFΔE0'?,0,57,1,15,99,10.48,63.35,,15,26.67,93.33,66.67,53.33,6.67,0,0,0,0,0,0,6.67,20,20,20,20,6.67,0,0,0,13.33,6.67,0,0,0,0,0,13.33,0,13.33,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,6.67,0,0,0,0,0,0,40,0,0,6.67,0,20,13.33,0
29,Consider a redox reaction where compound X has a reduction potential (E0') of -0.75 V and compound Y has a reduction potential (E0') of +0.35 V. Based on this information  which statement correctly describes the relationship between the difference in redox potentials (ΔE0') and the Gibbs free energy change (ΔG0') for this reaction?,1,61,1,53,96.59,29.6,29.13,49.04,26.5,32.08,71.7,43.4,37.74,5.66,0,0,0,0,0,0,5.66,15.09,11.32,11.32,11.32,3.77,1.89,3.77,0,7.55,1.89,0,1.89,1.89,0,0,18.87,0,18.87,3.77,7.55,0,3.77,0,3.77,0,1.89,1.89,0,0,0,0,0,0,0,0,3.77,1.89,0,0,0,0,1.89,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,5.66,0,0,5.66,0,0,0,1.89,0,3.77,3.77,0,0,0,0,0,33.96,5.66,0,1.89,0,7.55,18.87,0
30,Based on the given reduction potentials  is the directional transfer of electrons from Species B to Species A endergonic or exergonic?,2,62,1,21,99,16.63,5.94,,21,42.86,61.9,52.38,42.86,0,0,0,0,0,0,0,0,14.29,14.29,0,19.05,4.76,0,4.76,0,14.29,0,0,0,0,0,0,9.52,0,9.52,0,4.76,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,4.76,0,0,0,0,4.76,4.76,0,0,0,0,0,0,4.76,0,0,4.76,0,0,0,0
31,Which of the following statements correctly compares NAD+ and NADH in the context of redox reactions?,3,63,1,16,99,1.71,54.55,,16,37.5,62.5,50,43.75,6.25,0,0,0,0,0,0,6.25,12.5,12.5,0,18.75,0,0,6.25,0,6.25,0,0,0,0,0,0,18.75,0,18.75,0,6.25,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,6.25,0,0,6.25,0
32,How does the continuous hydrolysis and regeneration of ATP support cellular energy demands?,2,9,1,13,74.95,,81.58,99,13,46.15,61.54,53.85,38.46,0,0,0,0,0,0,0,0,7.69,7.69,0,7.69,7.69,7.69,7.69,0,15.38,7.69,0,7.69,0,0,7.69,7.69,0,7.69,7.69,7.69,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,7.69,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,7.69,0,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
33,What is formed when one phosphate group is removed from ATP?,0,3,1,11,6.68,86.82,5.07,,11,18.18,63.64,54.55,54.55,9.09,0,0,0,0,0,0,9.09,9.09,0,9.09,9.09,18.18,9.09,9.09,0,18.18,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,18.18,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
34,Which process releases energy from ATP?,0,2,1,6,89.52,1,39.59,,6,33.33,33.33,33.33,33.33,16.67,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
35,Why is ATP a suitable molecule for donating a phosphate group in this synthetic pathway?,2,8,1,15,96.08,77.41,19.26,,15,40,73.33,53.33,46.67,6.67,0,0,0,0,0,0,6.67,20,13.33,0,13.33,6.67,6.67,0,0,6.67,6.67,0,6.67,6.67,0,0,6.67,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,6.67,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,13.33,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0
36,Which assumption is necessary for ATP hydrolysis to be considered an exergonic reaction?,3,10,1,13,89.52,7.93,81.58,,13,46.15,76.92,61.54,46.15,7.69,0,0,0,0,0,0,7.69,7.69,7.69,0,15.38,15.38,0,0,0,23.08,7.69,0,0,0,0,0,30.77,0,30.77,15.38,7.69,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
37,Classify the following process based on the mechanisms discussed for ATP synthesis: 'A cell uses the energy from the breakdown of glucose to directly transfer a phosphate group to ADP  forming ATP.',1,6,1,32,99,58.66,,,32,37.5,59.38,50,37.5,0,0,0,0,0,0,0,0,18.75,18.75,0,18.75,0,0,0,0,12.5,0,0,0,0,0,0,6.25,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,3.13,0,0,0,0,3.13,3.13,0,0,0,0,3.13,0,0,3.13,3.13,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,3.13,0,0,0,0,0,0,12.5,3.13,0,0,0,6.25,3.13,0
